"ZIP","TotReturns","Adj_AGI","Avg_AGI","Indx"
12032,490,4209.1,8.59,2.15
12033,4040,40593.56,10.05,2.31
12035,420,3180.98,7.57,2.02
12036,110,1446.22,13.15,2.58
12037,1780,13467.61,7.57,2.02
12041,280,2559.79,9.14,2.21
12042,240,2268.03,9.45,2.25
12043,3120,23124.91,7.41,2
12046,360,3692.26,10.26,2.33
12047,9920,78021.74,7.87,2.06
12051,1780,14177.61,7.96,2.07
12052,730,7231.91,9.91,2.29
12053,2140,21551.59,10.07,2.31
12054,8780,124634.11,14.2,2.65
12056,1170,12297.19,10.51,2.35
12057,740,5952.65,8.04,2.08
12058,640,5468.85,8.55,2.15
12059,830,9344.41,11.26,2.42
12060,660,6559.4,9.94,2.3
12061,4930,54146.46,10.98,2.4
12062,840,7508.14,8.94,2.19
12063,300,4427.67,14.76,2.69
12064,220,1747.63,7.94,2.07
12065,21850,255514.07,11.69,2.46
12066,980,9338.33,9.53,2.25
12067,790,7132.98,9.03,2.2
12068,1360,11124.87,8.18,2.1
12070,630,5179.46,8.22,2.11
12071,120,1158.14,9.65,2.27
12072,1210,10336.73,8.54,2.14
12074,1470,13890.32,9.45,2.25
12075,1490,13133.58,8.81,2.18
12076,570,4519.71,7.93,2.07
12077,3140,43085.96,13.72,2.62
12078,9870,70882.15,7.18,1.97
12083,1880,16779.99,8.93,2.19
12084,2320,25128.75,10.83,2.38
12085,240,2200.55,9.17,2.22
12086,990,8991.65,9.08,2.21
12087,630,5461.51,8.67,2.16
12090,2610,20037.39,7.68,2.04
12092,540,4298.66,7.96,2.07
12093,680,5266.11,7.74,2.05
12094,1070,10001.89,9.35,2.24
12095,5640,42741.77,7.58,2.03
12106,1330,12899.08,9.7,2.27
12108,210,2215.61,10.55,2.36
12110,10230,98575.13,9.64,2.27
12116,810,6235.5,7.7,2.04
12117,1560,11791.5,7.56,2.02
12118,7380,67170.07,9.1,2.21
12120,260,2462.96,9.47,2.25
12121,940,8773.44,9.33,2.23
12122,1870,14269.65,7.63,2.03
12123,2570,22870.63,8.9,2.19
12125,740,6765.27,9.14,2.21
12130,550,4583.61,8.33,2.12
12131,100,1714.4,17.14,2.84
12134,1720,14270.05,8.3,2.12
12136,410,5562.26,13.57,2.61
12137,890,8525.77,9.58,2.26
12138,1360,12143.39,8.93,2.19
12139,130,1898.46,14.6,2.68
12140,880,9279.8,10.55,2.36
12143,2500,20236.43,8.09,2.09
12144,10430,87916.83,8.43,2.13
12147,300,3678.06,12.26,2.51
12148,2360,37562.54,15.92,2.77
12149,940,7429.03,7.9,2.07
12150,460,3914.49,8.51,2.14
12151,410,4377.82,10.68,2.37
12153,480,5025.32,10.47,2.35
12154,1440,13233.24,9.19,2.22
12155,730,5746.44,7.87,2.06
12156,440,4406.6,10.02,2.3
12157,1820,14787,8.12,2.09
12158,3120,31330.06,10.04,2.31
12159,4280,84696.23,19.79,2.99
12160,430,3653.14,8.5,2.14
12164,270,2459.95,9.11,2.21
12165,210,3181.54,15.15,2.72
12166,650,5117.95,7.87,2.06
12167,1140,8619.17,7.56,2.02
12168,950,7629.6,8.03,2.08
12169,150,1659.46,11.06,2.4
12170,2520,21197.23,8.41,2.13
12173,750,6805.45,9.07,2.2
12175,350,2814.58,8.04,2.08
12176,90,1242.21,13.8,2.62
12180,22860,171269.16,7.49,2.01
12182,7050,52695.45,7.47,2.01
12183,1410,12016.65,8.52,2.14
12184,3200,31485.37,9.84,2.29
12185,950,8064.72,8.49,2.14
12186,3360,40731.09,12.12,2.49
12187,430,3106.23,7.22,1.98
12188,5900,51869.98,8.79,2.17
12189,8940,70934.33,7.93,2.07
12190,360,3094.2,8.59,2.15
12192,690,6120.67,8.87,2.18
12193,1050,9215.14,8.78,2.17
12194,100,1450.8,14.51,2.67
12196,1580,17119.12,10.83,2.38
12197,950,7181.64,7.56,2.02
12198,3960,39436.78,9.96,2.3
12202,4220,32417.24,7.68,2.04
12203,13370,120985.49,9.05,2.2
12204,3810,33892.81,8.9,2.19
12205,14800,123975.29,8.38,2.13
12206,7030,50525.19,7.19,1.97
12207,710,5234.98,7.37,2
12208,9990,81365.07,8.14,2.1
12209,5240,40456.09,7.72,2.04
12210,4650,34285.75,7.37,2
12211,6010,107414.21,17.87,2.88
12302,14080,135471.32,9.62,2.26
12303,14690,119372.64,8.13,2.1
12304,10150,75399.94,7.43,2.01
12305,1850,14112.15,7.63,2.03
12306,13380,110499.55,8.26,2.11
12307,2790,22382.01,8.02,2.08
12308,6190,44610.14,7.21,1.98
12309,15110,204995.99,13.57,2.61
12401,15850,115942.4,7.31,1.99
12404,1680,12778.88,7.61,2.03
12405,310,2328.2,7.51,2.02
12406,310,2444.01,7.88,2.06
12407,120,1512.17,12.6,2.53
12409,480,4174.03,8.7,2.16
12410,160,2052.38,12.83,2.55
12411,260,2101.81,8.08,2.09
12412,360,2900.33,8.06,2.09
12413,1350,10229.45,7.58,2.03
12414,4520,34291.77,7.59,2.03
12416,100,1265.4,12.65,2.54
12418,250,2520.76,10.08,2.31
12419,370,4042.5,10.93,2.39
12421,170,2098.53,12.34,2.51
12422,170,1415.78,8.33,2.12
12423,500,3725.42,7.45,2.01
12424,110,1610.93,14.64,2.68
12427,220,2016.75,9.17,2.22
12428,2490,17656.29,7.09,1.96
12430,450,3482.81,7.74,2.05
12431,680,5944.77,8.74,2.17
12433,230,2824.68,12.28,2.51
12434,320,2643.14,8.26,2.11
12435,200,1893.3,9.47,2.25
12439,190,1847.03,9.72,2.27
12440,960,7895.69,8.22,2.11
12442,470,4174.14,8.88,2.18
12443,2050,21323.68,10.4,2.34
12444,140,1453.5,10.38,2.34
12446,2200,16890.31,7.68,2.04
12448,110,1617.47,14.7,2.69
12449,1650,13687.98,8.3,2.12
12451,820,6459.71,7.88,2.06
12454,120,1541.7,12.85,2.55
12455,740,5705.55,7.71,2.04
12456,410,3315.79,8.09,2.09
12457,270,2719.16,10.07,2.31
12458,1060,8366.51,7.89,2.07
12460,150,1835,12.23,2.5
12461,800,6844.23,8.56,2.15
12463,750,6262.31,8.35,2.12
12464,460,3641.57,7.92,2.07
12465,100,1539.6,15.4,2.73
12466,1590,13634.75,8.58,2.15
12468,470,3411.39,7.26,1.98
12469,290,2366.75,8.16,2.1
12470,230,1891.15,8.22,2.11
12472,840,6740.14,8.02,2.08
12473,420,3340.74,7.95,2.07
12474,580,4500.8,7.76,2.05
12477,8710,66945.48,7.69,2.04
12480,270,2473,9.16,2.21
12481,690,6358.98,9.22,2.22
12482,350,3008.19,8.59,2.15
12484,1460,14075.67,9.64,2.27
12485,500,4003.96,8.01,2.08
12486,740,7924.51,10.71,2.37
12487,1360,11276.11,8.29,2.12
12491,1010,8195.08,8.11,2.09
12492,120,1600.94,13.34,2.59
12494,350,3574.43,10.21,2.32
12495,160,2478.81,15.49,2.74
12496,690,5670.99,8.22,2.11
12498,2410,22837.85,9.48,2.25
12501,1040,8384.1,8.06,2.09
12502,480,5686.46,11.85,2.47
12503,300,4419.47,14.73,2.69
12508,8550,70870.34,8.29,2.12
12513,600,5941.63,9.9,2.29
12514,1340,16240.25,12.12,2.49
12515,780,6481.8,8.31,2.12
12516,740,6589.98,8.91,2.19
12517,200,2283.7,11.42,2.44
12518,2870,33105.34,11.53,2.44
12520,1670,21539.24,12.9,2.56
12521,750,6042.13,8.06,2.09
12522,2240,18127.64,8.09,2.09
12523,850,7449.48,8.76,2.17
12524,7560,84921.33,11.23,2.42
12525,1760,17062.4,9.69,2.27
12526,1820,14804.28,8.13,2.1
12528,6440,58626.36,9.1,2.21
12529,1120,8786.22,7.84,2.06
12531,1560,19375.24,12.42,2.52
12533,12050,172222.88,14.29,2.66
12534,7570,54605.86,7.21,1.98
12538,6400,58092.88,9.08,2.21
12540,3670,53119.65,14.47,2.67
12542,2940,27572.4,9.38,2.24
12543,1380,11939.28,8.65,2.16
12545,2270,30108.7,13.26,2.58
12546,1390,11197.1,8.06,2.09
12547,1400,12534.22,8.95,2.19
12548,790,7553.74,9.56,2.26
12549,4960,53059.49,10.7,2.37
12550,24460,183041.05,7.48,2.01
12553,11950,110894.87,9.28,2.23
12561,7010,66929.06,9.55,2.26
12563,3540,35800.52,10.11,2.31
12564,3380,43378.33,12.83,2.55
12565,790,5805.45,7.35,1.99
12566,4830,45406.28,9.4,2.24
12567,1310,12306.81,9.39,2.24
12569,5000,49789.99,9.96,2.3
12570,3360,49835.66,14.83,2.7
12571,4530,43095.94,9.51,2.25
12572,4370,57539.6,13.17,2.58
12575,1120,13459.64,12.02,2.49
12577,960,11925.54,12.42,2.52
12578,1120,13148.27,11.74,2.46
12580,1870,19795.39,10.59,2.36
12581,1030,9756.22,9.47,2.25
12582,2250,29656.38,13.18,2.58
12583,1040,8730.78,8.39,2.13
12585,460,5231.59,11.37,2.43
12586,6010,54221.85,9.02,2.2
12589,6650,59023.4,8.88,2.18
12590,17710,175702.54,9.92,2.29
12592,570,5488.82,9.63,2.26
12594,1910,15886.05,8.32,2.12
12601,17070,124003.86,7.26,1.98
12603,20580,207444.78,10.08,2.31
12701,4440,31469.16,7.09,1.96
12719,450,3884.48,8.63,2.16
12720,150,3183.27,21.22,3.05
12721,2900,26004.41,8.97,2.19
12723,710,6429.01,9.05,2.2
12725,180,2198.43,12.21,2.5
12726,500,4758.4,9.52,2.25
12729,850,6219.36,7.32,1.99
12732,370,4067.34,10.99,2.4
12733,240,2165.74,9.02,2.2
12734,540,4439.8,8.22,2.11
12737,810,7437.9,9.18,2.22
12738,130,1695.66,13.04,2.57
12740,960,9104.12,9.48,2.25
12741,170,1582.33,9.31,2.23
12742,200,1677.9,8.39,2.13
12743,150,1880.54,12.54,2.53
