"","npi","score_spread","score_bene"
"908","1568445096",15,9
"909","1568451912",2,13
"910","1568457752",0,15
"911","1568462042",4,7
"912","1568472645",3,1
"913","1568481299",1,6
"914","1568481331",0,8
"915","1568526580",20,10
"916","1568536043",8,13
"917","1568609113",5,8
"918","1568618809",1,0
"919","1568620300",14,11
"920","1568625192",25,13
"921","1578524393",4,14
"922","1578535837",11,18
"923","1578538732",8,23
"924","1578541652",21,14
"925","1578541991",18,21
"926","1578552550",0,11
"927","1578568556",0,9
"928","1578577375",0,13
"929","1578582466",21,15
"930","1578614343",11,15
"931","1578634614",11,12
"932","1578652228",17,14
"933","1578652921",3,3
"934","1578708897",1,3
"935","1578739793",4,7
"936","1588601793",24,23
"937","1588606602",17,13
"938","1588613665",0,0
"939","1588617302",5,9
"940","1588627749",12,21
"941","1588627988",9,15
"942","1588628911",8,17
"943","1588636039",15,9
"944","1588663652",0,21
"945","1588664379",5,17
"946","1588669469",0,16
"947","1588683148",8,16
"948","1588687750",13,13
"949","1588697908",12,14
"950","1588703995",19,21
"951","1588706907",4,4
"952","1588733141",16,13
"953","1588736268",0,11
"954","1588823561",7,11
"955","1588834691",21,10
"956","1598729964",16,6
"957","1598742637",11,17
"958","1598756793",0,19
"959","1598760944",0,4
"960","1598772378",14,12
"961","1598772923",8,13
"962","1598793796",10,10
"963","1598794018",19,14
"964","1598796930",11,13
"965","1598861668",22,12
"966","1598862286",0,0
"967","1598914129",5,1
"968","1609039155",0,12
"969","1609049279",0,0
"970","1609801398",10,13
"971","1609808393",10,7
"972","1609813468",24,12
"973","1609839919",3,16
"974","1609842749",2,20
"975","1609853571",19,12
"976","1609859123",25,18
"977","1609861046",0,5
"978","1609867050",2,12
"979","1609867845",0,21
"980","1609868074",0,15
"981","1609874460",21,17
"982","1609875442",4,13
"983","1609921576",6,9
"984","1609936400",17,11
"985","1609968833",25,23
"986","1609985837",2,4
"987","1619036076",1,3
"988","1619047917",4,8
"989","1619058989",0,0
"990","1619068814",14,10
"991","1619083425",12,26
"992","1619085008",8,9
"993","1619086873",16,14
"994","1619088747",6,20
"995","1619170354",8,12
"996","1619174554",13,3
"997","1619174646",7,5
"998","1619911997",17,19
"999","1619912847",0,2
"1000","1619956240",16,17
"1001","1619974433",6,13
"1002","1629062989",4,8
"1003","1629063888",23,17
"1004","1629077078",3,10
"1005","1629098991",21,13
"1006","1629122775",0,13
"1007","1629134424",8,10
"1008","1629138540",21,15
"1009","1629179304",4,8
"1010","1629232251",3,3
"1011","1629279799",9,5
"1012","1639108483",25,17
"1013","1639110307",21,15
"1014","1639115157",6,12
"1015","1639128135",7,8
"1016","1639130529",10,10
"1017","1639135171",19,9
"1018","1639160187",14,8
"1019","1639173123",0,0
"1020","1639183205",0,0
"1021","1639230063",0,7
"1022","1639254196",13,11
"1023","1639274475",16,16
"1024","1649202797",13,5
"1025","1649206053",20,6
"1026","1649211780",0,8
"1027","1649212911",14,13
"1028","1649221425",1,5
"1029","1649232497",16,10
"1030","1649260746",3,2
"1031","1649271859",6,11
"1032","1649281528",16,13
"1033","1649345034",11,6
"1034","1649361072",22,21
"1035","1649378704",0,15
"1036","1649464835",8,5
"1037","1649492554",15,9
"1038","1659328011",19,16
"1039","1659339141",20,14
"1040","1659340859",0,14
"1041","1659356657",18,14
"1042","1659361848",11,9
"1043","1659374098",6,5
"1044","1659374809",18,11
"1045","1659392520",9,9
"1046","1659394294",15,12
"1047","1659440444",17,5
"1048","1659463347",3,13
"1049","1659483378",9,1
"1050","1659578789",16,13
"1051","1669400180",11,6
"1052","1669406492",21,22
"1053","1669408498",3,0
"1054","1669414892",13,16
"1055","1669421459",21,11
"1056","1669429569",0,9
"1057","1669430666",18,17
"1058","1669431268",7,10
"1059","1669432746",11,17
"1060","1669440137",24,13
"1061","1669441101",21,13
"1062","1669447546",2,3
"1063","1669451886",1,10
"1064","1669456349",6,7
"1065","1669470498",8,10
"1066","1669470829",18,8
"1067","1669477626",15,14
"1068","1669497459",18,24
"1069","1669511275",2,3
"1070","1669521845",0,0
"1071","1669526331",0,0
"1072","1669529780",5,10
"1073","1669570487",15,16
"1074","1669580759",20,7
"1075","1669587119",12,3
"1076","1669633418",9,6
"1077","1669675229",3,0
"1078","1669699518",0,9
"1079","1679505374",19,17
"1080","1679505614",0,5
"1081","1679514327",0,17
"1082","1679529234",10,12
"1083","1679543235",0,17
"1084","1679546055",0,13
"1085","1679562821",16,14
"1086","1679569214",8,14
"1087","1679577191",12,12
"1088","1679583553",13,21
"1089","1679663660",3,0
